,ts,MAPE
708,0.51,0.2418578273152954
560,0.75,0.2418576900794252
682,0.52,0.24185763109589495
136,0.7,0.24185719024051017
613,0.74,0.241855658247896
623,0.2,0.24185535014862436
345,0.87,0.24185404156115192
734,0.33,0.24185191624586028
936,0.59,0.24185096007052703
107,0.3,0.24184951057721601
980,0.1,0.24184584683127974
391,0.32,0.2418451962923579
712,0.06,0.24184483796382847
438,0.87,0.24184439462761254
145,0.05,0.24184419449045128
849,0.51,0.24184355860036433
926,0.58,0.24184326767581757
348,0.89,0.24184293144261543
527,0.36,0.24183849489789075
408,0.55,0.2418371243261507
52,0.48,0.24183662068353362
563,0.25,0.241833939759164
321,0.33,0.24183368530467514
959,0.84,0.24183174736390306
388,0.57,0.24183034976365056
174,0.83,0.2418288977755896
961,0.68,0.2418288529185686
656,0.71,0.24182804956208803
0,0.32,0.24182535630393379
662,0.8,0.2418245949748958
983,0.8,0.24182120193934709
873,0.93,0.24181992220732496
553,0.51,0.24181900847743235
646,0.8,0.2418183509163846
538,0.56,0.24181769771770345
463,0.67,0.2418171043866657
411,0.44,0.24181707813975786
56,0.59,0.2418170248874652
339,0.43,0.24181595570677966
512,0.16,0.24181444947560268
320,0.85,0.24181442634077185
3,0.75,0.24181353046767345
275,0.06,0.24181308624308986
21,0.35,0.2418122128919434
41,0.86,0.24181180312295839
297,0.63,0.24181110884950852
704,0.38,0.2418108716571916
789,0.45,0.2418097429931821
810,0.73,0.2418076014306751
851,0.9,0.24180754360528703
12,0.36,0.2418073672575106
977,0.2,0.24180660008959004
337,0.63,0.24180653651142653
887,0.91,0.2418061516327469
350,0.66,0.2418046551942109
986,0.24,0.24180464135911833
195,0.79,0.24180440620210927
77,0.49,0.24180405613978156
689,0.52,0.2418010358622624
975,0.54,0.24179856476827574
911,0.77,0.2417974384885449
278,0.68,0.24179580126820327
919,0.63,0.2417929613578396
843,0.27,0.24179211940502604
62,0.21,0.24179098522213804
233,0.66,0.24179060757872176
34,0.75,0.24178918062367388
794,0.53,0.2417886666970078
996,0.42,0.24178744140178374
68,0.29,0.2417872313630999
869,0.77,0.2417866829728641
169,0.78,0.2417864470062302
489,0.64,0.24178612463574053
230,0.8,0.24178500071087689
229,0.46,0.24178334138968452
764,0.71,0.24178217791166098
501,0.05,0.24178129007045232
498,0.94,0.2417795360602877
576,0.92,0.24177922838820431
319,0.82,0.24177834386900376
648,0.19,0.24177806880093067
205,0.8,0.24177771873879397
953,0.79,0.2417759882601533
340,0.89,0.24177152419928702
287,0.28,0.24177134199086528
413,0.56,0.24177069787986863
859,0.16,0.24176971324814747
751,0.49,0.24176761245389314
836,0.9,0.24176752573890928
946,0.75,0.2417657107837243
416,0.32,0.24176486886619078
369,0.39,0.2417644315207277
237,0.5,0.24176417737533631
593,0.73,0.2417639221756049
148,0.07,0.24176384199073145
674,0.84,0.2417638117229294
949,0.77,0.24176335842981364
628,0.77,0.24176288870948
723,0.36,0.24176249069570327
604,0.76,0.24176181896888577
347,0.84,0.24176093452272632
627,0.28,0.24176083123285944
747,0.9,0.24176028546367684
465,0.32,0.24175935543723948
908,0.85,0.24175790832187077
449,0.58,0.2417564159330018
456,0.69,0.2417561048058388
256,0.67,0.241753169776331
122,0.93,0.24175310839089886
718,0.57,0.24175168612821243
315,0.84,0.2417504687318593
406,0.56,0.2417502564371237
389,0.72,0.24175011938813265
143,0.53,0.24174895885965048
862,0.92,0.2417484182596857
555,0.92,0.24174567533226135
733,0.16,0.241745072923845
542,0.88,0.2417433616710837
688,0.13,0.2417419800885057
371,0.67,0.2417417044083987
355,0.69,0.24173916103120752
147,0.7,0.24173801340215492
798,0.48,0.24173695931718872
540,0.71,0.24173615449456118
937,0.83,0.24173540009690658
110,0.15,0.2417319747830444
435,0.3,0.24173185944762085
709,0.59,0.2417315812256646
929,0.58,0.24172932389528168
885,0.21,0.24172868063243194
681,0.44,0.24172740997858547
894,0.34,0.2417255290123292
844,0.73,0.2417252190946138
253,0.77,0.2417230043735207
218,0.73,0.24172161336323
39,0.33,0.24172115248587575
125,0.27,0.24171966762118002
948,0.77,0.24171644324517222
916,0.59,0.2417151937286877
564,0.54,0.2417150559328502
756,0.54,0.24171367117477888
65,0.48,0.24171219576161948
216,0.08,0.2417119879398438
164,0.8,0.24171015965384948
622,0.93,0.24170968541330348
670,0.21,0.24170685257991026
398,0.51,0.24170659642558806
167,0.88,0.24170639145791586
955,0.57,0.2417052213341268
552,0.64,0.24170461700920795
517,0.65,0.2417043786661643
192,0.5,0.24170406268251687
462,0.59,0.24170219899420267
639,0.41,0.2417003485959085
421,0.89,0.24170028545605524
240,0.5,0.24170024331047163
660,0.12,0.24169907128335588
405,0.37,0.24169829762923994
839,0.47,0.24169287889604807
932,0.82,0.24169120206678987
631,0.49,0.24169082313541496
913,0.22,0.241689346277951
991,0.43,0.24168854469508075
819,0.29,0.24168835364613825
776,0.1,0.2416883062731989
78,0.87,0.2416878196540174
198,0.61,0.24168349403017597
291,0.87,0.24168291762630084
204,0.79,0.24168238431961148
23,0.72,0.2416823485736733
190,0.62,0.24168079068996134
276,0.27,0.24168007670527125
518,0.8,0.2416782197777556
374,0.86,0.2416778498169238
92,0.36,0.24167777083700803
46,0.37,0.2416776181728983
701,0.23,0.24167694294773492
672,0.2,0.24167644741376682
88,0.79,0.24167613578895933
338,0.87,0.24167474476068562
703,0.7,0.24167355645490243
469,0.56,0.24167252480678433
957,0.44,0.24167252224581523
657,0.54,0.24166871219597258
221,0.85,0.24166681928397413
234,0.59,0.24166677590647612
871,0.75,0.2416635257219946
907,0.78,0.24166263822065961
727,0.55,0.24166240697141564
366,0.84,0.2416616691774842
804,0.43,0.2416589416783745
595,0.75,0.24165375317266033
874,0.54,0.24165157819920421
910,0.34,0.2416502434550141
493,0.75,0.24164952836085274
220,0.76,0.24164881237432587
739,0.41,0.2416487723341105
97,0.74,0.24164852006604665
200,0.47,0.24164810463780778
213,0.75,0.24164762216129418
303,0.12,0.24164745020320882
163,0.68,0.2416473303418042
920,0.2,0.24164673665436523
921,0.82,0.2416430165072836
324,0.55,0.24164272661068195
14,0.68,0.2416422425564092
127,0.34,0.2416419743540074
587,0.36,0.24164139578154367
75,0.67,0.24164090968785254
516,0.24,0.24164070655612252
446,0.45,0.24163899507866665
180,0.18,0.24163874145693218
87,0.62,0.24163823175747018
550,0.92,0.241637989728404
559,0.49,0.2416369831132172
397,0.47,0.2416351726793348
455,0.88,0.24163425408269212
206,0.65,0.24163408030929936
196,0.75,0.2416335877387524
678,0.14,0.24163207429426867
207,0.56,0.24163041643495153
497,0.43,0.24162837054610695
472,0.61,0.2416281880488801
394,0.39,0.241627117178637
479,0.58,0.24162554946393472
938,0.38,0.24162471894449833
330,0.68,0.24162197745851238
466,0.74,0.24162186062359461
571,0.79,0.24161922332532737
2,0.47,0.24161916741414097
768,0.6,0.24161874200579497
881,0.33,0.24161736786689586
633,0.18,0.24161701937312174
754,0.55,0.241615304405408
83,0.46,0.24161376393714507
144,0.83,0.2416130735807669
392,0.46,0.2416121098887904
700,0.42,0.24161129730710468
903,0.67,0.24161004224619298
288,0.33,0.2416095032788617
597,0.63,0.2416083509010647
898,0.1,0.2416061665355669
439,0.37,0.2416053714464963
30,0.37,0.24160492877259712
526,0.58,0.24160366560878688
11,0.39,0.241603471854443
847,0.35,0.24160304582834258
795,0.86,0.24160264966613962
31,0.21,0.24160036046993175
335,0.32,0.24159966569896757
546,0.71,0.2415995204247977
387,0.74,0.2415947796220048
426,0.63,0.24159469940968722
244,0.43,0.24159445695889972
186,0.58,0.24159257188090072
379,0.78,0.2415923195497377
925,0.42,0.24159224816596284
259,0.89,0.24159119104289956
488,0.4,0.241590839377632
960,0.79,0.24159004655573485
750,0.23,0.2415893019157143
325,0.29,0.24158879393488705
714,0.5,0.24158844406704588
43,0.46,0.24158649776363003
226,0.32,0.2415844275120577
854,0.28,0.24158311023726423
481,0.5,0.2415814162609882
313,0.92,0.24158107859434266
80,0.21,0.2415805527519946
277,0.8,0.24158053875653263
102,0.48,0.241578798440323
199,0.87,0.24157453497687278
806,0.26,0.24157410319275732
331,0.89,0.2415737230724581
63,0.78,0.24157365749111662
521,0.78,0.24157058465723993
101,0.78,0.24157046853821854
189,0.76,0.2415695580481439
684,0.57,0.24156937055158395
96,0.7,0.24156462321972444
989,0.39,0.24156282045879263
132,0.78,0.24156173966239064
692,0.56,0.24156130385794256
434,0.68,0.24155980815196001
407,0.48,0.24155980206397573
178,0.63,0.2415564931813339
280,0.28,0.24155242217716558
927,0.49,0.24155182140704004
886,0.87,0.2415511347839006
658,0.55,0.24154845012625747
968,0.37,0.2415466770564743
282,0.91,0.24154537835405823
541,0.48,0.24154396931577068
482,0.3,0.24153805008698784
829,0.18,0.2415371589770628
112,0.38,0.24153576707697924
91,0.7,0.24153278154951643
181,0.11,0.24153245851494126
787,0.08,0.24153160224141138
523,0.94,0.24153086181258995
108,0.51,0.2415297918252608
13,0.55,0.2415291147531132
451,0.62,0.24152620009289244
792,0.67,0.24152496234295426
317,0.05,0.241523421297332
522,0.23,0.2415220876640785
160,0.49,0.24152154911385873
495,0.66,0.24152136260373147
327,0.41,0.24152125637849167
362,0.29,0.24152093037065228
491,0.42,0.24151523608272302
208,0.72,0.2415136025846054
270,0.91,0.24151168388907207
577,0.41,0.2415083837430057
454,0.84,0.24150698516570857
972,0.76,0.24150578160021519
981,0.75,0.2415036544640686
807,0.22,0.2415033055970418
809,0.66,0.24150327315076622
617,0.65,0.24150322950093867
432,0.78,0.24150275082278164
697,0.36,0.2415007816148711
255,0.92,0.24149738678950514
769,0.35,0.24149587514213525
150,0.19,0.241494772349684
305,0.86,0.24149340169551553
32,0.13,0.24149082187327836
140,0.5,0.24149074883708574
779,0.32,0.24148872489864076
40,0.49,0.2414883074642654
209,0.37,0.2414873733651187
252,0.83,0.24148453491220487
85,0.78,0.241484263073595
154,0.63,0.24148392334286212
947,0.48,0.2414836971725468
316,0.44,0.24148318811873487
440,0.09,0.2414807366627661
231,0.14,0.2414796751114765
592,0.36,0.24147682409682686
298,0.32,0.24147662944312195
609,0.65,0.24147552002998268
724,0.16,0.24147315922464924
452,0.2,0.2414720796715322
630,0.36,0.24147095732773804
598,0.39,0.2414705091294926
842,0.71,0.24146921967234755
506,0.41,0.24146730947823294
753,0.82,0.24146622652575694
396,0.23,0.24146560443563342
579,0.4,0.24146523752581603
833,0.53,0.24146494420947023
845,0.2,0.24146381644838893
763,0.46,0.24146380803071504
963,0.93,0.24146182428205787
790,0.17,0.24146180728056635
765,0.69,0.24145824414763423
197,0.81,0.24145786443715145
50,0.42,0.2414573421655596
420,0.57,0.24145684762348657
48,0.46,0.24145576361194568
562,0.9,0.24145572241309726
400,0.38,0.2414540509044976
799,0.52,0.24145368175378787
664,0.73,0.24145228799606433
719,0.22,0.2414520884534399
505,0.45,0.24145132997986393
175,0.17,0.24145097336679003
353,0.62,0.24144881541673416
784,0.55,0.24144776902673246
222,0.17,0.24144553365681096
29,0.53,0.24144535211626772
412,0.25,0.24144453557387802
575,0.51,0.24144351905104322
403,0.84,0.2414434702174701
816,0.76,0.24144327025967152
268,0.46,0.2414421487356622
520,0.54,0.24144138771742826
958,0.49,0.24144078565403337
94,0.11,0.2414403237477393
460,0.35,0.24143969272499738
98,0.67,0.24143937232252025
619,0.69,0.24143922809100582
121,0.08,0.24143672164500266
830,0.7,0.24143668136073596
652,0.36,0.2414358850985921
536,0.32,0.24143568830833265
18,0.26,0.24143510705688737
53,0.32,0.24143386202570194
367,0.51,0.24143365348215706
616,0.77,0.24143269257415098
341,0.84,0.24143244555492055
730,0.27,0.24143217637511336
589,0.37,0.24142950423292522
558,0.85,0.24142423282206585
863,0.9,0.24142262036202938
514,0.75,0.24142229956007225
22,0.91,0.24142130063837652
557,0.4,0.24141875595568799
177,0.15,0.24141838262232518
649,0.56,0.24141817896978798
978,0.05,0.2414175250824787
680,0.67,0.24141440112122922
66,0.29,0.24141432007121225
642,0.63,0.24141387924097035
858,0.33,0.24141217910105495
294,0.84,0.24141216108541252
629,0.21,0.24140961928287838
304,0.31,0.24140691014234653
386,0.48,0.24140290342328824
954,0.27,0.2414026842374582
755,0.25,0.24140082230257798
146,0.35,0.24139615740412648
131,0.93,0.24139577847391705
202,0.13,0.24139208901932957
279,0.15,0.241389343923297
860,0.89,0.24138920913527606
554,0.64,0.2413886240400691
823,0.36,0.24138704302128305
260,0.38,0.2413791559632373
569,0.41,0.24137080112652143
811,0.65,0.24137052012420987
343,0.2,0.24136810101044281
69,0.72,0.24136407427764084
528,0.3,0.24136313490431324
54,0.51,0.2413602722036475
152,0.76,0.24135816776653407
296,0.3,0.24135679056872575
852,0.23,0.2413567527488004
644,0.54,0.24135622110803895
825,0.44,0.24135330305583785
602,0.48,0.24134627547715692
793,0.47,0.24134551972161575
677,0.28,0.24134332961851293
549,0.88,0.24134157476930232
556,0.82,0.24134013225559173
336,0.52,0.24133920207356835
266,0.83,0.24133064960665587
318,0.41,0.24133059252246997
134,0.55,0.24133025389198798
151,0.64,0.2413268454871684
61,0.47,0.24132605622061948
58,0.92,0.24132556649257078
710,0.45,0.2413250966938734
368,0.74,0.24132473632179513
922,0.36,0.24132414080567863
480,0.25,0.24132405295911907
738,0.88,0.24132261156789883
299,0.88,0.24132172443036692
464,0.13,0.24131990751243002
219,0.45,0.24131962229988171
749,0.08,0.24131775594237037
737,0.64,0.24131622259546576
866,0.59,0.2413143136596186
137,0.56,0.24131408237283064
721,0.66,0.24131185001369107
638,0.09,0.24131139198124735
547,0.39,0.24130979886284806
236,0.24,0.2413086207931585
414,0.92,0.24130805655702012
36,0.14,0.24130757569557293
157,0.38,0.2413042743381376
545,0.93,0.24130358061567336
971,0.38,0.24129557334053184
142,0.26,0.24129010448562824
427,0.78,0.24128879928766175
424,0.27,0.2412857144385387
588,0.22,0.24128298587955216
425,0.2,0.24127914257297528
928,0.8,0.24127526787740702
349,0.27,0.2412741625006692
447,0.26,0.24126349288195148
650,0.14,0.24126319983630268
328,0.39,0.24126156839474933
533,0.69,0.2412613746701717
591,0.72,0.2412596383780874
17,0.37,0.24125895168242228
418,0.21,0.2412571056398439
450,0.19,0.24125633792796397
269,0.27,0.24125399354854096
402,0.4,0.2412533417869084
4,0.5,0.24124920228439514
1,0.72,0.24124391292323163
895,0.48,0.24124225809230673
7,0.93,0.24123275278607598
445,0.74,0.24122694485445428
111,0.41,0.24122495013047188
453,0.28,0.2412247813756625
861,0.08,0.2412241457673341
38,0.21,0.24122273622524495
323,0.06,0.24122241866456146
867,0.06,0.24121808145995707
423,0.32,0.24121559003195386
726,0.12,0.2412105420134495
179,0.35,0.24121000056418201
55,0.89,0.24120021334895939
699,0.42,0.24119915488827376
976,0.67,0.24119804281148652
141,0.54,0.24119143284430897
352,0.3,0.2411910997552826
813,0.3,0.24118903874133157
503,0.63,0.2411870982592177
969,0.23,0.24117869902364114
786,0.32,0.24117855537421204
